,model_type,clf,parameters,auc-roc,precision_5,accuracy_5,recall_5,precision_10,accuracy_10,recall_10,precision_20,accuracy_20,recall_20,runtime,y_pred_probs
0,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'sqrt'}",0.846318854714142,0.48,0.9299,0.3524229074889868,0.3566666666666667,0.9032333333333333,0.5237395986294665,0.2355,0.8261,0.6916299559471366,0.7333261966705322,"[ 0.02352953  0.09786276  0.03048692 ...,  0.02456541  0.09786276
  0.0263898 ]"
1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'sqrt'}",0.8493031156808868,0.478,0.9297,0.3509544787077827,0.3616666666666667,0.9042333333333333,0.531081742535487,0.2365,0.8265,0.6945668135095447,5.054123401641846,"[ 0.02040075  0.08226899  0.0342433  ...,  0.02149278  0.08146011
  0.01849136]"
2,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",0.8453882072690788,0.47733333333333333,0.9296333333333333,0.3504650024473813,0.3556666666666667,0.9030333333333334,0.5222711698482624,0.23366666666666666,0.8253666666666667,0.6862457170827215,0.8411350250244141,"[ 0.02050991  0.08483128  0.03498695 ...,  0.02156007  0.08824812
  0.01944775]"
3,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",0.8492889165448141,0.47533333333333333,0.9294333333333333,0.3489965736661772,0.3596666666666667,0.9038333333333334,0.5281448849730788,0.2375,0.8269,0.697503671071953,4.827634334564209,"[ 0.01955899  0.08208462  0.0339072  ...,  0.02069356  0.07958463
  0.0182914 ]"
4,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'log2'}",0.8441394273924376,0.48133333333333334,0.9300333333333334,0.3534018600097895,0.357,0.9033,0.5242290748898678,0.23033333333333333,0.8240333333333333,0.6764561918746941,0.7711896896362305,"[ 0.02288355  0.06349885  0.03020087 ...,  0.02269773  0.05318516
  0.01898457]"
5,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'log2'}",0.8486971662358691,0.476,0.9295,0.34948604992657856,0.3586666666666667,0.9036333333333333,0.5266764561918746,0.23666666666666666,0.8265666666666667,0.6950562897699462,5.27698826789856,"[ 0.02130786  0.0809391   0.03168037 ...,  0.02012757  0.08050804
  0.01840462]"
6,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",0.8438952145077143,0.482,0.9301,0.35389133627019087,0.356,0.9031,0.5227606461086637,0.235,0.8259,0.6901615271659325,0.7605540752410889,"[ 0.01898689  0.10062066  0.03990604 ...,  0.01914559  0.08996475
  0.02045282]"
7,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",0.8487971904829512,0.4766666666666667,0.9295666666666667,0.3499755261869799,0.3576666666666667,0.9034333333333333,0.5252080274106706,0.2355,0.8261,0.6916299559471366,5.048340082168579,"[ 0.02190984  0.06968396  0.03522646 ...,  0.02212048  0.07146661
  0.01914398]"
8,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 10, 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'sqrt'}",0.7772909802693112,0.448,0.9267,0.328928046989721,0.3863333333333333,0.9091666666666667,0.5673029858051885,0.25583333333333336,0.8342333333333334,0.7513460597161038,1.58329439163208,"[ 0.1  0.2  0.  ...,  0.   0.   0. ]"
9,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'n_estimators': 100, 'max_depth': 50, 'min_samples_split': 2, 'max_features': 'sqrt'}",0.8324283266216591,0.4533333333333333,0.9272333333333334,0.33284385707293196,0.343,0.9005,0.5036710719530103,0.232,0.8247,0.6813509544787077,13.462299823760986,"[ 0.01  0.04  0.02 ...,  0.02  0.05  0.  ]"
